"","ENSG_ID","gene_name","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","ENSG00000145632","PLK2",5448.66053147069,-2.01928771715005,0.0746906903087922,-27.0353334371626,5.68183033719619e-161,8.96024644175839e-157
"2","ENSG00000164690","SHH",921.323235151751,3.68487679905329,0.138289903331952,26.6460291768959,1.98974016894169e-156,1.56891012321052e-152
"3","ENSG00000146674","IGFBP3",516.152396135982,3.06312786406334,0.167401868903237,18.2980505781206,8.57631128972077e-75,4.50828096796322e-71
"4","ENSG00000259527","LINC00052",290.13773766753,-2.75795719865486,0.154099851234322,-17.8972087030841,1.23982201324563e-71,4.88799828722089e-68
"5","ENSG00000177707","NECTIN3",141.774021740913,-4.13183201362128,0.260961407216814,-15.8331151632258,1.83887195543124e-56,5.79980214743013e-53
"6","ENSG00000171401","KRT13",541.488331420945,-4.19622068204199,0.27972282274086,-15.001352556525,7.19382797540847e-51,1.89077778620319e-47
"7","ENSG00000113739","STC2",6508.21808229747,-2.03725272596953,0.140262846804021,-14.5245357012897,8.47143419472069e-48,1.90849310358207e-44
"8","ENSG00000064666","CNN2",702.869119254457,1.92907165968844,0.140386144210589,13.7411827252318,5.75282620570413e-43,1.13402586579943e-39
"9","ENSG00000229807","XIST",363.382566511563,-4.21433278415215,0.314322218181545,-13.4076833910547,5.45152346032049e-41,9.55228055213935e-38
"10","ENSG00000170289","CNGB3",73.5115155387782,3.22203809269089,0.243506915842481,13.2318134848176,5.74834495194259e-40,9.06513998921347e-37
"11","ENSG00000184613","NELL2",166.016259597454,-4.43128593017613,0.336380059057707,-13.1734501224282,1.24763297707176e-39,1.78865200440197e-36
"12","ENSG00000070882","OSBPL3",101.779580730806,3.49377422674679,0.274562732076338,12.7248669195767,4.30207165671398e-37,5.65363916886496e-34
"13","ENSG00000170381","SEMA3E",114.228942010899,-3.59410171693829,0.288618587520646,-12.4527728716751,1.35069550627991e-35,1.63849754877186e-32
"14","ENSG00000111716","LDHB",123.892199788091,3.51987649917421,0.283390753046563,12.4205763996677,2.02100131395627e-35,2.27651362293503e-32
"15","ENSG00000115825","PRKD3",417.391356791196,2.64978822898316,0.220151750226254,12.0361897021483,2.2930436229901e-33,2.41075319563692e-30
"16","ENSG00000085563","ABCB1",707.358199159198,10.3495181707034,0.863838199739625,11.9808526340035,4.47695325433162e-33,4.4125970513006e-30
"17","ENSG00000133466","C1QTNF6",280.35874922208,-2.01616498545554,0.171527505327599,-11.7541789091194,6.72109073668548e-32,6.23480005397235e-29
"18","ENSG00000154654","NCAM2",944.021674387441,-2.2132849247464,0.189921737902103,-11.653668238268,2.19789779188275e-31,1.92560267655506e-28
"19","ENSG00000147642","SYBU",262.737022344252,-2.28482077234356,0.197557288418269,-11.5653580317732,6.1733256633073e-31,5.12386030054505e-28
"20","ENSG00000104267","CA2",3798.26723950303,-1.63084883241226,0.141384385841859,-11.5348581294995,8.80321807494133e-31,6.94133745209124e-28
"21","ENSG00000112175","BMP5",239.986399891555,-1.69525524309635,0.152900372429443,-11.0873192534482,1.44554938893238e-28,1.08553875540303e-25
"22","ENSG00000183036","PCP4",431.676348557083,3.00963578044774,0.274473390817314,10.9651276995769,5.62211320747261e-28,4.0300329673565e-25
"23","ENSG00000167755","KLK6",424.482245856208,-2.96172336062412,0.270584099395191,-10.9456666790257,6.9703034957958e-28,4.77920374472608e-25
"24","ENSG00000008282","SYPL1",3372.72074144766,-0.778020602356333,0.0715388477492479,-10.8754980941738,1.50829713152823e-27,9.91076906841676e-25
